id,gender_recommendations,accuracy_vs_disparity,computers_vs_humans,black_boxes,compas_unfair,gender
c4334f76f61ca1fbc5bd6d77c3d329d4,1.0,5.0,3.0,1.0,6.0,Male
d21e68b6199484f5d97ad64783fa1b35,1.0,7.0,5.0,2.0,6.0,Female
ce2f079f43c0faef9cdcca3bbd432fc9,1.0,3.0,4.0,2.0,5.0,Female
b923e39dc0608af6e27fd618e99eb307,1.0,1.0,7.0,1.0,5.0,Male
5fc1a2c61b6155e3e1647634a81b84fa,3.0,5.0,5.0,4.0,5.0,Male
1487f2b9b85fb886b203a7eda1ce0d3b,3.0,6.0,2.0,1.0,6.0,Male
418caaba2c50820def2c9c952ef6f9fc,1.0,3.0,3.0,2.0,7.0,Male
fd94de7f04e383028ab71b0734641e0c,1.0,5.0,4.0,1.0,6.0,Male
068a761f21deb87a78a86b1669f53152,1.0,7.0,1.0,1.0,4.0,Male
54d4007b6642d2d5531e72ab77f83922,2.0,2.0,4.0,2.0,4.0,Male
cdae2ac37143c0c6cbd6bf616c4f3d12,4.0,2.0,2.0,3.0,5.0,Male
6d803b39a736bc219ad49c01ea3f6cac,2.0,6.0,2.0,6.0,5.0,Male
729cc3b9ab5364763d5e33bdc967b4fc,1.0,7.0,5.0,1.0,5.0,Female
4719337994ff00ae724cdd71f56bedbf,2.0,2.0,2.0,1.0,6.0,Male
f9524eb971b5fe4c3d7327d55292fdc0,2.0,7.0,6.0,2.0,6.0,Male
2ed6c7adc2ab921e93613fd1f16d70c6,1.0,6.0,1.0,1.0,6.0,Male
3aa616146dccc4842ae4238ffef85685,5.0,3.0,4.0,4.0,5.0,Male
ea5ea901b1c38b22fb7d25d9c0eba580,1.0,3.0,4.0,1.0,6.0,Female
efd663ca735b453141231e72410560f7,1.0,4.0,1.0,1.0,4.0,Male
4f963b0bf5a7767492e63b5523d6c910,1.0,4.0,3.0,5.0,5.0,Male
c56c0e4a547db8f776ea86c4a0cc966d,2.0,6.0,1.0,1.0,6.0,Female
a8b494a8ba0b2638c8eb20cfd316d7b2,1.0,7.0,4.0,4.0,6.0,Female
9b57b03c3ba3687e7bbe43a703ab9c84,2.0,5.0,3.0,2.0,5.0,Male
7b4d76740668677057043e1151ffec43,2.0,1.0,6.0,1.0,4.0,Male
cb4630ddbdaa3793fe09cdbbecf3b49c,1.0,7.0,1.0,2.0,7.0,Male
c88f822b6787c9267877aaffb118b537,1.0,4.0,2.0,2.0,7.0,Female
a76530e4a25f6e7a6c67280d895afe45,1.0,4.0,2.0,1.0,5.0,Female
d99b40708065b3e68ad7c6c86e2f6ce9,1.0,7.0,2.0,1.0,7.0,Male
53e89be68e61f44d8c185a4a2e87c7db,5.0,6.0,1.0,2.0,7.0,Male
3b6723d9fe100f76d971406c467462c3,1.0,7.0,3.0,2.0,7.0,Female
6f43d02cdae58dd434f5fe44b2de291f,1.0,4.0,3.0,1.0,6.0,Female
e091b1a9663e055e17da7a7a627c01aa,1.0,7.0,5.0,2.0,6.0,Male
e9a7e7d68ad7035757c120ef0cabff3a,1.0,5.0,3.0,1.0,6.0,Male
e05b0b71c604b2390fa385071093b674,2.0,4.0,5.0,2.0,4.0,Male
c753d4f591e41981c2409651895f3d07,3.0,5.0,2.0,3.0,5.0,Male
15745a64f14247b0dbbb2b3aa97c42c0,1.0,7.0,1.0,1.0,6.0,Female
e7ec5b677840510bd068f9c708028305,2.0,3.0,5.0,1.0,6.0,Male
2fe3a5d8eb7432c84b22151aa0c6f63c,1.0,6.0,2.0,1.0,7.0,Male
df99e9ab1c7dbe41a2cfdd7dd8eef87a,1.0,2.0,6.0,1.0,4.0,Male
6864cf356a796c97580869238254f3b4,1.0,5.0,2.0,1.0,5.0,Male
0ce1d040ec3cb6caa8dcc62cea6aacd1,6.0,2.0,3.0,5.0,4.0,Male
1c0f13cdf96401b654c0a4489ed8c2c2,2.0,6.0,3.0,2.0,6.0,Female
f287a0e5dd325418e454fac799a4b290,2.0,5.0,3.0,1.0,6.0,Male
fb1edba68c680ccae3cdf2c10c1ca818,2.0,6.0,6.0,2.0,7.0,Male
120ebe7b33ea37644a9146f4d1192dea,1.0,5.0,3.0,1.0,6.0,Male
4b0e41d4c501f2f61ae26862ce85b227,3.0,5.0,3.0,1.0,5.0,Male
790cfdcbc112ffd430fe6adb3d3bab44,1.0,2.0,5.0,4.0,3.0,Male
38fb6e3b2f1a699c8cbea38e3358996f,2.0,6.0,2.0,1.0,6.0,Male
193302d27a2326430160534c43ebe6b9,3.0,5.0,3.0,4.0,4.0,Male
6110e0788266a8ae9670d4d2bb839803,2.0,4.0,3.0,2.0,5.0,Female
bac3694be4d3a567d862e3222126a945,1.0,7.0,1.0,2.0,7.0,Female
ec73ca4390a8c55d4f27e9b63c3876e4,5.0,2.0,5.0,3.0,5.0,Male
dbc95d3019d42986877f0a3760bd548e,2.0,5.0,2.0,1.0,5.0,Male
54a2e68f0e948d6b5a0e399494ec635b,2.0,2.0,6.0,1.0,7.0,Male
5b7b6d0ac68fb123fcb801db67092928,3.0,5.0,2.0,1.0,5.0,Male
ffefd809c05c26dcb077384d6ccb5879,3.0,5.0,1.0,6.0,6.0,Male
30e3df81baef815ac01c4d5faae11b38,5.0,2.0,5.0,5.0,2.0,Female
3026ad49141f910d8fb170d18e86fd01,2.0,3.0,6.0,2.0,6.0,Male
e8841658fe293dbae6bcefe10070eab1,1.0,6.0,3.0,1.0,6.0,Female
6de3c4f73050baefaba6f218f141abb1,3.0,2.0,6.0,3.0,5.0,Male
0b757c020eda1403ea8bf4d0ce3559a4,2.0,6.0,4.0,1.0,6.0,Female
680341ad240ae17b7ff5199e5c481da3,1.0,7.0,5.0,2.0,7.0,Male
c7991992325171546d9e2844fc871f16,1.0,6.0,1.0,1.0,2.0,Female
21d172ed306b95293572bc2dc26c279e,1.0,6.0,2.0,1.0,6.0,Female
487875b97ffa966206d7fa2d7c5fb7aa,1.0,3.0,3.0,3.0,6.0,Male
1b8546cdbb643e70a5a138ae95046506,3.0,3.0,5.0,1.0,5.0,Male
20126982cc475b3e4b031bb20dbcef4e,2.0,2.0,4.0,1.0,4.0,Male
f78dafa88a9d70a784374a90199b0cde,1.0,5.0,2.0,4.0,6.0,Female
7de08f50ede4a1314293d25105432977,1.0,7.0,5.0,1.0,7.0,Male
9bf9e767edde8c4f1979827958767ebe,2.0,5.0,2.0,5.0,3.0,Male
3bb519bed7e3525d593cc4bd8e1eb583,1.0,4.0,2.0,2.0,6.0,Female
119065eeedb535a2124a4bfa5d9401a1,1.0,6.0,5.0,1.0,6.0,Male
f1e21497d782e65d82465f8338766da8,2.0,5.0,2.0,3.0,4.0,Female
3a40ba1113089069e34b14a3b65aaf38,1.0,4.0,5.0,2.0,6.0,Male
d8dac7f07f08bb9e6b71855048513ee6,2.0,5.0,4.0,2.0,5.0,Male
a49281f3a587bf687b8c201702917fad,2.0,5.0,4.0,2.0,5.0,Male
627359df525d123942e48c8dc7649f34,2.0,2.0,6.0,3.0,5.0,Male
ab6a6905984f82590e4b8d3a62e0a152,2.0,6.0,4.0,2.0,5.0,Male
346071f53ab020593a3b852463fc8c9e,1.0,7.0,1.0,5.0,6.0,Male
accdda91016eeca61f71012f4ea87555,2.0,2.0,5.0,3.0,2.0,Male
fcd65d4a77bcc16b2fc97bc8f593a73a,1.0,4.0,2.0,3.0,6.0,Male
fbbec0e5233af777c7cd5b5b3bc58507,1.0,5.0,5.0,4.0,5.0,Male
cd316f78a05d5c9ab6fae0e7aca73d8f,5.0,4.0,1.0,1.0,3.0,Male
b25c802eceb3258dda37225f11e499fa,2.0,4.0,5.0,3.0,4.0,Male
93a2b9b1e8fc08263d52cbed10fefded,1.0,4.0,5.0,2.0,5.0,Male
7bc8ea36c9b2d1ef21f68e25289f0c15,3.0,5.0,6.0,2.0,6.0,Male
cc6bc323d6693b623a39c7b9ab209722,4.0,6.0,3.0,6.0,5.0,Male
