"Imagine a computer program used by an education company uses a student's gender to recommend courses the student should take. This increases the accuracy of recommendations, making it more likely students will sign up for courses, but also makes it less likely that women will be recommended science classes. Should we: ","Imagine a computer program rates criminal defendants as low risk or high risk depending on how likely they are to commit another crime. This program does not explicitly use race to make decisions, but it nonetheless creates large racial disparities: it is much more likely to rate a black defendant as high risk than a white defendant. This is true even if neither defendant will go on to commit another crime. However, removing these disparities requires reducing the accuracy of the computer program, which could increase crime rates or increase the number of low-risk defendants who are unnecessarily jailed. Should we: ","There is evidence that computer programs can decide more accurately than human judges how likely a defendant is to commit another crime. But some have argued that such decisions ought to be left to human judges, since computers can never fully take individual factors into account. Should we:","Computer programs used in the justice system are often ""black boxes"": how they make decisions is kept secret from the public. Opponents argue this violates a defendant's rights; proponents argue that companies have a right to keep their computer programs secret, and also that if they made the details public defendants could game the system. Should we: ",What is your gender? 
7.0,7.0,7.0,1.0,Male
5.0,7.0,6.0,1.0,Male
1.0,6.0,7.0,2.0,Male
3.0,5.0,1.0,1.0,Male
4.0,3.0,4.0,1.0,Male
3.0,5.0,6.0,6.0,Male
1.0,5.0,3.0,4.0,Male
6.0,2.0,4.0,1.0,Female
6.0,3.0,2.0,1.0,Female
1.0,4.0,2.0,1.0,Male
2.0,5.0,1.0,1.0,Female
1.0,6.0,4.0,4.0,Female
2.0,5.0,4.0,1.0,Female
2.0,6.0,3.0,3.0,Female
1.0,1.0,4.0,6.0,Female
2.0,6.0,7.0,2.0,Female
3.0,3.0,6.0,2.0,Female
1.0,4.0,4.0,1.0,Female
1.0,7.0,3.0,2.0,Female
2.0,6.0,3.0,5.0,Female
1.0,7.0,3.0,1.0,Female
1.0,5.0,2.0,2.0,Female
1.0,7.0,7.0,1.0,Female
1.0,3.0,3.0,2.0,Female
1.0,6.0,6.0,1.0,Female
2.0,4.0,5.0,2.0,Female
3.0,4.0,4.0,5.0,Female
5.0,1.0,7.0,1.0,Male
5.0,3.0,5.0,4.0,Male
5.0,2.0,7.0,7.0,Male
2.0,3.0,7.0,5.0,Male
3.0,3.0,3.0,2.0,Male
2.0,5.0,3.0,1.0,Male
1.0,5.0,4.0,1.0,Male
2.0,6.0,4.0,1.0,Male
3.0,5.0,5.0,3.0,Male
1.0,6.0,1.0,1.0,Male
1.0,4.0,2.0,1.0,Male
5.0,3.0,5.0,1.0,Male
1.0,1.0,7.0,1.0,Male
1.0,6.0,6.0,3.0,Female
1.0,3.0,1.0,1.0,Female
2.0,2.0,6.0,2.0,Male
1.0,2.0,3.0,2.0,Female
2.0,3.0,5.0,2.0,Male
4.0,2.0,3.0,3.0,Female
1.0,6.0,4.0,6.0,Female
2.0,2.0,3.0,1.0,Female
1.0,6.0,3.0,2.0,Male
3.0,2.0,4.0,2.0,Male
1.0,5.0,6.0,6.0,Female
1.0,5.0,5.0,2.0,Female
1.0,5.0,3.0,2.0,Female
1.0,4.0,3.0,2.0,Male
4.0,7.0,5.0,3.0,Female
1.0,3.0,5.0,3.0,Female
2.0,5.0,5.0,2.0,Male
1.0,1.0,1.0,1.0,Male
1.0,6.0,6.0,4.0,Female
1.0,5.0,4.0,3.0,Female
1.0,2.0,3.0,2.0,Female
2.0,5.0,4.0,3.0,Female
1.0,7.0,1.0,4.0,Female
4.0,7.0,3.0,1.0,Male
1.0,4.0,7.0,1.0,Male
3.0,3.0,3.0,2.0,Male
2.0,3.0,6.0,1.0,Female
1.0,6.0,2.0,1.0,Female
5.0,3.0,6.0,1.0,Male
3.0,7.0,1.0,1.0,Male
5.0,1.0,3.0,1.0,Male
1.0,5.0,3.0,3.0,Female
1.0,5.0,2.0,2.0,Female
1.0,3.0,5.0,7.0,Male
3.0,4.0,3.0,1.0,Male
1.0,3.0,5.0,4.0,Male
1.0,1.0,7.0,7.0,Male
1.0,3.0,5.0,2.0,Male
7.0,7.0,7.0,7.0,Male
7.0,1.0,7.0,1.0,Male
7.0,7.0,7.0,6.0,Female
3.0,6.0,1.0,3.0,Female
2.0,5.0,5.0,3.0,Female
1.0,7.0,4.0,1.0,Male
3.0,4.0,5.0,7.0,Male
7.0,1.0,4.0,1.0,Male
1.0,3.0,6.0,2.0,Female
2.0,3.0,4.0,2.0,Male
1.0,7.0,3.0,1.0,Female
2.0,3.0,2.0,1.0,Female
5.0,2.0,6.0,2.0,Male
3.0,4.0,5.0,2.0,Male
2.0,7.0,5.0,2.0,Female
1.0,7.0,4.0,2.0,Male
2.0,3.0,2.0,3.0,Male
1.0,7.0,4.0,3.0,Female
1.0,7.0,4.0,1.0,Female
2.0,5.0,3.0,1.0,Male
2.0,4.0,3.0,4.0,Male
5.0,7.0,2.0,1.0,Male
1.0,5.0,7.0,2.0,Male
7.0,1.0,3.0,2.0,Male
2.0,2.0,3.0,5.0,Male
2.0,6.0,7.0,6.0,Male
2.0,2.0,2.0,2.0,Male
1.0,7.0,3.0,2.0,Female
3.0,6.0,3.0,3.0,Male
1.0,6.0,2.0,2.0,Female
1.0,7.0,2.0,2.0,Female
1.0,6.0,3.0,2.0,Male
2.0,3.0,5.0,1.0,Female
2.0,2.0,4.0,5.0,Female
5.0,2.0,5.0,2.0,Male
2.0,4.0,3.0,5.0,Female
1.0,5.0,4.0,3.0,Male
1.0,3.0,2.0,1.0,Female
2.0,5.0,6.0,5.0,Female
1.0,7.0,1.0,1.0,Female
1.0,4.0,6.0,6.0,Male
4.0,2.0,2.0,1.0,Male
1.0,7.0,2.0,2.0,Male
2.0,7.0,7.0,1.0,Male
5.0,3.0,6.0,2.0,Male
6.0,1.0,7.0,4.0,Male
2.0,3.0,4.0,5.0,Male
1.0,3.0,2.0,1.0,Male
3.0,4.0,4.0,5.0,Male
7.0,1.0,4.0,7.0,Male
1.0,5.0,6.0,2.0,Female
1.0,7.0,4.0,2.0,Female
1.0,5.0,3.0,2.0,Female
1.0,7.0,1.0,1.0,Female
7.0,1.0,7.0,1.0,Male
3.0,4.0,2.0,1.0,Female
3.0,5.0,2.0,3.0,Female
1.0,7.0,1.0,4.0,Female
3.0,2.0,7.0,2.0,Male
1.0,3.0,5.0,4.0,Male
6.0,3.0,5.0,1.0,Male
1.0,7.0,3.0,1.0,Female
1.0,6.0,2.0,3.0,Female
5.0,3.0,5.0,2.0,Male
3.0,2.0,3.0,1.0,Male
5.0,1.0,7.0,2.0,Male
1.0,7.0,6.0,1.0,Female
1.0,7.0,1.0,1.0,Female
1.0,5.0,3.0,1.0,Male
1.0,3.0,5.0,2.0,Female
2.0,6.0,6.0,2.0,Female
1.0,6.0,1.0,4.0,Male
7.0,1.0,7.0,1.0,Male
1.0,6.0,4.0,1.0,Female
1.0,5.0,3.0,1.0,Male
1.0,3.0,5.0,1.0,Male
1.0,7.0,1.0,1.0,Male
1.0,7.0,1.0,4.0,Male
4.0,3.0,3.0,1.0,Female
1.0,5.0,2.0,1.0,Male
2.0,6.0,3.0,2.0,Male
5.0,3.0,3.0,2.0,Male
1.0,7.0,3.0,1.0,Male
1.0,7.0,4.0,1.0,Male
4.0,6.0,1.0,1.0,Male
